hotel,price,score,avg review,reviews count
"Private rooms in authentic apartment in Old town of Tunis, near Medina",TND 139,"Scored 9.2
9.2",Superb,84
Downtown Tunis Hotel,TND 182,"Scored 7.8
7.8",Good,"1,540"
Occidental Lac Tunis,TND 281,"Scored 8.1
8.1",Very good,555
Marigold Hotel,TND 282,"Scored 8.1
8.1",Very good,"2,502"
Hotel Dar Ali,TND 109,"Scored 7.1
7.1",Good,"1,151"
Nomads Hostel Tunisia,TND 99,"Scored 8.8
8.8",Fabulous,513
Lac Palace Luxury Apartment-2 Bdr,TND 215,"Scored 9.1
9.1",Superb,156
Palais Bayram,TND 397,"Scored 8.0
8.0",Very good,"1,240"
Évasion au centre de Tunis,TND 139,"Scored 7.8
7.8",Good,5
Golf Royal Hotel,TND 221,"Scored 7.9
7.9",Good,"3,136"
Le National,TND 197,"Scored 7.6
7.6",Good,367
Le Parisien Tunis,TND 152,"Scored 8.6
8.6",Fabulous,65
Sheraton Tunis Hotel,TND 709,"Scored 8.1
8.1",Very good,617
Hotel Carlton,TND 393,"Scored 8.2
8.2",Very good,"4,086"
Mövenpick Hotel du Lac Tunis,TND 775,"Scored 8.2
8.2",Very good,937
Ibis Tunis,TND 259,"Scored 7.5
7.5",Good,632
Royal Victoria - Ex British Embassy,TND 301,"Scored 8.2
8.2",Very good,"1,522"
Dar Ben Gacem Kahia,TND 397,"Scored 9.0
9.0",Superb,566
Tunis Marriott Hotel,TND 585,"Scored 8.3
8.3",Very good,439
Hotel AL KARMEL,TND 151,"Scored 6.9
6.9",Review score,945
Hôtel Ayachi,TND 46,"Scored 4.1
4.1",Review score,55
Seven Floors,TND 305,"Scored 9.0
9.0",Superb,63
"Radisson Hotel Tunis, City Center",TND 930,"Scored 8.9
8.9",Fabulous,166
Appartement Haut standing S+3 - plein centre ville,TND 228,"Scored 8.8
8.8",Fabulous,38
HOTEL LAFAYETTE,TND 189,"Scored 7.7
7.7",Good,655
